Kanji,Hiragana,English
見舞い,みまい,"enquiry,expression of sympathy,expression of concern"
援助,えんじょ,"assistance,aid,support"
黙る,だまる,to be silent
宗教,しゅうきょう,religion
,テント,tent
目標,もくひょう,"mark,objective,target"
睡眠,すいみん,sleep
調査,ちょうさ,"investigation,examination,inquiry,survey"
夜,よ,"evening,night"
汚染,おせん,"pollution,contamination"
現代,げんだい,"nowadays,modern times,present-day"
土地,とち,"plot of land,lot,soil"
支払,しはらい,payment
震える,ふるえる,"to shiver,to shake,to quake"
作物,さくもつ,"produce (e.g. agricultural),crops"
引っ張る,ひっぱる,"(1) to pull,to draw,to stretch,to drag,(2) to pull the ball (baseball)"
単位,たんい,"unit,denomination,credit (in school)"
川,かわ,river
無料,むりょう,"free,no charge"
意思,いし,"intention,purpose"
虫歯,むしば,"cavity,tooth decay,decayed tooth,caries"
姿,すがた,"figure,shape,appearance"
承知,しょうち,"consent,acceptance,assent,admitting"
休憩,きゅうけい,"rest,break,recess,intermission"
加える,くわえる,"to append,to sum up,to add (up)"
怪我,けが,"injury (to animate object),hurt"
姉妹,しまい,sisters
個人,こじん,"individual,private person,personal,private"
読み,よみ,reading
巨大,きょだい,"huge,gigantic,enormous"
異なる,ことなる,"to differ,to vary,to disagree"
一種,いっしゅ,"a species,a kind,a variety"
紐,ひも,"(1) string,cord,(2) pimp"
劇,げき,"drama,play"
気付く,きづく,"to notice,to recognize,to become aware of"
有利,ゆうり,"advantageous,better,profitable,lucrative"
量,りょう,"quantity,amount,volume,portion (of food)"
題,だい,"title,subject,theme,topic"
向ける,むける,"to turn towards,to point"
恐怖,きょうふ,"be afraid,dread,dismay,terror"
訴える,うったえる,"to sue (a person),to resort to,to appeal to"
段,だん,"step,stair,flight of steps,grade,rank,level"
可,か,passable
友,とも,"friend,companion,pal"
通り,とおり,"in accordance with ~,following ~,~ Street,~ Avenue"
怠ける,なまける,"to be idle,to neglect"
急に,きゅうに,
分,ぶ,"dividing,part"
事務,じむ,"business,office work"
職業,しょくぎょう,"occupation,business"
画家,がか,"painter,artist"
翼,つばさ,wings
,デモ,"(abbr) demo,demonstration"
許す,ゆるす,"to permit,to allow,to approve"
弾,たま,"bullet,shot,shell"
,いつまでも,"forever,for good,eternally,as long as one likes,indefinitely"
気の毒,きのどく,"pitiful,a pity"
地平線,ちへいせん,horizon
変化,へんか,"goblin,ghost,apparition,bugbear"
費用,ひよう,"cost,expense"
名,な,"name,reputation"
経由,けいゆ,"go by the way,via"
少女,しょうじょ,"daughter,young lady,virgin,maiden,little girl"
正,せい,"(logical) true,regular"
損,そん,"loss,disadvantage"
太陽,たいよう,"sun,solar"
感じ,かんじ,"feeling,sense,impression"
実験,じっけん,experiment
祭,まつり,"festival,feast"
稲,いね,rice-plant
,パイプ,"(1) pipe,tube,(2) channels, official or otherwise"
単語,たんご,"word,vocabulary,(usually) single-character word"
感じる,かんじる,"to feel,to sense,to experience"
書類,しょるい,"documents,official papers"
成る,なる,to become
人生,じんせい,(human) life (i.e. conception to death)
完成,かんせい,"(1) complete,completion,(2) perfection,accomplishment"
国家,こっか,"state,country,nation"
除く,のぞく,"to remove,to exclude,to except"
人間,にんげん,"human being,man,person"
注目,ちゅうもく,"notice,attention,observation"
邪魔,じゃま,"hindrance,intrusion"
,いつか,"sometime,someday,one day"
製造,せいぞう,"manufacture,production"
訓練,くんれん,"practice,training"
砂漠,さばく,desert
帯,おび,"band (e.g. conduction, valence)"
,ぐっすり,"sound asleep,fast asleep"
関連,かんれん,"relation,connection,relevance"
,スキー,skiing
現実,げんじつ,reality
座席,ざせき,seat
役,やく,"use,service,role,position"
克服,こくふく,"subjugation,conquest"
唯,ただ,"free of charge,mere,sole,only,usual,common"
筋,すじ,"muscle,string,line"
速度,そくど,"speed,velocity,rate"
主張,しゅちょう,"claim,request,insistence,assertion"
直ちに,ただちに,"at once,immediately,directly,in person"
面倒,めんどう,"trouble,difficulty,care,attention"
通じる,つうじる,"to run to,to lead to,to communicate,to understand"
偶々,たまたま,"casually,unexpectedly,accidentally,by chance"
年代,ねんだい,"age,era,period,date"
逆,ぎゃく,"reverse,opposite"
憲法,けんぽう,constitution
,すごい,"terrible,dreadful,terrific,amazing,great"
集団,しゅうだん,"group,mass"
罪,つみ,"crime,fault,indiscretion"
破産,はさん,(personal) bankruptcy
すみません,（感）,"sorry,excuse me"
連想,れんそう,"association (of ideas),suggestion"
飛ばす,とばす,"to skip over,to omit"
給料,きゅうりょう,"salary,wages"
偶然,ぐうぜん,"(by) chance,unexpectedly,suddenly"
明ける,あける,"to dawn,to become daylight"
最終,さいしゅう,"last,final,closing"
労働,ろうどう,"manual labor,toil,work"
,つまり,"in short,in brief,in other words"
分析,ぶんせき,analysis
記事,きじ,"article,news story,report,account"
腰,こし,hip
不,ぶ,"un,non,negative prefix"
任せる,まかせる,"to entrust to another,to leave to"
,プラン,plan
暮らす,くらす,"to live,to get along"
及ぼす,およぼす,"to exert,to cause,to exercise"
症状,しょうじょう,"symptoms,condition"
倒す,たおす,"to throw down,to beat,to bring down,to blow down"
移動,いどう,"removal,migration,movement"
尻,しり,"buttocks,bottom"
期待,きたい,"expectation,anticipation,hope"
全く,まったく,"really,truly,entirely,completely"
市場,いちば,(the) market (as a concept)
穀物,こくもつ,"grain,cereal,corn"
可能,かのう,"possible,practicable,feasible"
書物,しょもつ,books
明かり,あかり,"lamplight,light (in general),brightness"
満ちる,みちる,"to be full,to rise (tide),to mature,to expire"
公平,こうへい,"fairness,impartial,justice"
愛する,あいする,to love
銃,じゅう,gun
礼儀,れいぎ,"manners,courtesy,etiquette"
理解,りかい,"understanding,comprehension"
考慮,こうりょ,"consideration,taking into account"
考え,かんがえ,"thinking,thought,ideas,intention"
札,さつ,"(1) token,label,(2) ticket,(3) charm"
成績,せいせき,"results,record"
中心,ちゅうしん,"center,core,heart,pivot,emphasis,balance"
試し,ためし,"trial,test"
,できれば,
感覚,かんかく,"sense,sensation"
衣服,いふく,clothes
年中,ねんじゅう,"whole year,always,everyday"
暮らし,くらし,"living,livelihood,subsistence,circumstances"
困難,こんなん,"difficulty,distress"
合図,あいず,"sign,signal"
