Kanji,Hiragana,English
生臭い,なまぐさい,"smelling of fish or blood, fish or meat"
構え,かまえ,"posture, pose, style"
不味い,まずい,"unappetising, unpleasant (taste appearance situation), ugly, unskilful, awkward, bungling, unwise, untime"
骨董品,こっとうひん,curio
,ブルー,blue
弾く,はじく,"to flip, to snap"
罰,ばち,"(divine) punishment, curse, retribution"
真ん丸い,まんまるい,perfectly circular
楽譜,がくふ,score (music)
折り返す,おりかえす,"to turn up, to fold back"
証,あかし,"proof, evidence"
気象,きしょう,"weather, climate"
工学,こうがく,engineering
徒歩,とほ,"walking, going on foot"
堪らない,たまらない,"intolerable, unbearable, unendurable"
近郊,きんこう,"suburbs, outskirts"
今晩は,こんばんは,good evening
分担,ぶんたん,"apportionment, sharing"
謝絶,しゃぜつ,refusal
道場,どうじょう,"dojo, hall used for martial arts training, mandala"
匹,ひき,"head, small animal counter, roll of cloth"
派,は,"clique, faction, school"
意向,いこう,"intention, idea, inclination"
記述,きじゅつ,"describing, descriptor"
怯える,おびえる,"to become frightened, to have a nightmare"
警戒,けいかい,"warning, admonition, vigilance"
派遣,はけん,"dispatch, send"
終わる,おわる,"to finish, to close"
出演,しゅつえん,"performance, stage appearance"
如何にも,いかにも,"indeed, really, phrase meaning agreement"
彼処,あそこ,"1. (uk) there, over there, that place, 2. (X) (col) genitals"
勝利,しょうり,"victory, triumph, conquest, success, win"
混血,こんけつ,"mixed race, mixed parentage"
,オンライン,on-line
進出,しんしゅつ,"advance, step forward"
鼾,いびき,snoring
,コメント,comment
良識,りょうしき,good sense
歳,さい,#NAME?
自立,じりつ,"independence, self-reliance"
漏れる,もれる,"to leak out, to escape, to come through, to shine through, to filter out, to be omitted"
くっ付ける,くっつける,to attach
国土,こくど,realm
稍,やや,"a little, partially, somewhat, a short time, a while"
彼此,あれこれ,"one thing or another, this and that, this or that"
上陸,じょうりく,"landing, disembarkation"
養う,やしなう,"to rear, to maintain, to cultivate"
,ホース,hose
,でかい,huge
不良,ふりょう,"badness, delinquent, inferiority, failure"
富豪,ふごう,"wealthy person, millionaire"
呆れる,あきれる,"to be amazed, to be shocked"
仕付ける,しつける,"to be used to a job, to begin to do, to baste, to tack, to plant"
,しいんと,"silent (as the grave), (deathly) quiet"
合わす,あわす,"to join together, to face, to unite, to be opposite, to combine, to connect, to add up, to mix, to match, to"
赴任,ふにん,(proceeding to) new appointment
叶える,かなえる,to grant (request wish)
教訓,きょうくん,"lesson, precept, moral instruction"
風習,ふうしゅう,custom
進化,しんか,"evolution, progress"
征服,せいふく,"conquest, subjugation, overcoming"
指示,しじ,"indication, instruction, directions"
修学,しゅうがく,learning
阻止,そし,"obstruction, check, hindrance, prevention, interdiction"
東,あずま,"east, Eastern Japan"
農場,のうじょう,farm (agriculture)
護衛,ごえい,"guard, convoy, escort"
押し込む,おしこむ,"to push into, to crowd into"
所で,ところで,"by the way, even if, no matter what"
中腹,ちゅうっぱら,"irritated, offended"
偶に,たまに,"occasionally, once in a while"
治まる,おさまる,"to be at peace, to clamp down, to lessen (storm terror anger)"
風土,ふうど,"natural features, topography, climate, spiritual features"
改定,かいてい,reform
誠実,せいじつ,"sincere, honest, faithful"
例,ためし,"instance, example, case, precedent, experience, custom, usage, parallel, illustration"
素敵,すてき,"lovely, dreamy, beautiful, great, fantastic, superb, cool, capital"
特技,とくぎ,special skill
格,かく,"status, character, case"
網,あみ,"net, network"
月日,がっぴ,(the) date
雅致,がち,"artistry, good taste, elegance, grace"
阻む,はばむ,"to keep someone from doing, to stop, to prevent, to check, to hinder, to obstruct, to oppose, to thwart"
曲,きょく,"tune, piece of music"
説く,とく,"to explain, to advocate, to preach, to persuade"
些事,さじ,"something small or petty, trifle"
専修,せんしゅう,specialization
交付,こうふ,"delivering, furnishing (with copies)"
三味線,さみせん,"three-stringed Japanese guitar, shamisen"
近視,きんし,shortsightedness
家畜,かちく,"domestic animals, livestock, cattle"
象徴,しょうちょう,symbol
承諾,しょうだく,"consent, acquiescence, agreement"
禅,ぜん,Zen (Buddhism)
短縮,たんしゅく,"shortening, abbreviation, reduction"
設立,せつりつ,"establishment, foundation, institution"
顧みる,かえりみる,"to look back, to turn around, to review"
演ずる,えんずる,"to perform, to play"
,ルーズ,loose
火花,ひばな,spark
特派,とくは,"send specially, special envoy"
舞う,まう,"to dance, to flutter about, to revolve"
腐敗,ふはい,"decay, depravity"
猛烈,もうれつ,"violent, vehement, rage"
捕獲,ほかく,"capture, seizure"
,ルール,rule
音色,おんいろ,"tone color, tone quality, timbre, synthesizer patch"
実質,じっしつ,"substance, essence"
お宮,おみや,Shinto shrine
一昨昨日,さきおととい,two days before yesterday
見合わせる,みあわせる,"to exchange glances, to postpone, to suspend operations, to refrain from performing an action"
,あられ,"kind of cookie, cartoon character"
目論見,もくろみ,"a plan, a scheme, a project, a program, intention, goal"
号,ごう,"number, issue"
添う,そう,"to accompany, to become married, to comply with"
受け継ぐ,うけつぐ,"to inherit, to succeed, to take over"
塵取り,ちりとり,dustpan
導く,みちびく,"to be guided, to be shown"
階,かい,"-floor (counter), stories"
寛容,かんよう,"forbearance, tolerance, generosity"
人,じん,"man, person, people"
代わる,かわる,"to take the place of, to relieve, to be substituted for, to be exchanged, to change places with, to take"
負債,ふさい,"debt, liabilities"
巨,こ,"big, large, great"
真相,しんそう,"truth, real situation"
待ち望む,まちのぞむ,"to look anxiously for, to wait eagerly for"
時折,ときおり,sometimes
懲りる,こりる,"to learn by experience, to be disgusted with"
裂ける,さける,"to split, to tear, to burst"
物置き,ものおき,storeroom
各,おのおの,"each, every, either, respectively, severally"
待望,たいぼう,expectant waiting
普遍,ふへん,"universality, ubiquity, omnipresence"
平たい,ひらたい,"flat, even, level, simple, plain"
蕩ける,とろける,to be enchanted with
