Kanji,Hiragana,English
毎月,まいげつ/まいつき,every month
太い,ふとい,fat
五日,いつか,"five days, fifth day"
出る,でる,"to appear,to leave"
話,はなし,"talk,story"
写真,しゃしん,photograph
大きな,おおきな,big
曇り,くもり,cloudy weather
白い,しろい,White
,かかる,to take time or money
,どう,"how,in what way"
,ドア,Western style door
飲み物,のみもの,a drink
掃除,そうじする,"to clean, to sweep"
,たいへん,very
時間,じかん,Time
昼御飯,ひるごはん,midday meal
店,みせ,shop
火曜日,かようび,Tuesday
,あさって,day after tomorrow
誰,だれか,somebody
,ええ,yes
丈夫,じょうぶ,"strong, durable"
,ほんとう,truth
先週,せんしゅう,last week
,ワイシャツ,business shirt
会う,あう,to meet
西,にし,west
狭い,せまい,Narrow
覚える,おぼえる,to remember
入れる,いれる,to put in
道,みち,street
電気,でんき,"electricity,electric light"
学生,がくせい,Student
御飯,ごはん,"cooked rice, meal"
,テープレコーダー,tape recorder
近い,ちかい,near
昨日,きのう,Yesterday
後,あと,afterwards
作文,さくぶん,"composition, writing"
終る,おわる,to finish
,もっと,more
お兄さん,おにいさん,(honorable) older brother
目,め,eye
門,もん,gate
,スリッパ,Slippers
読む,よむ,to read
,ニュース,news
冷たい,つめたい,cold to the touch
地図,ちず,map
学校,がっこう,School
煩い,うるさい,"noisy, annoying"
三日,みっか,"three days, third day of the month"
大使館,たいしかん,embassy
青い,あおい,blue
駅,えき,station
,パーティー,party
座る,すわる,to sit
二人,ふたり,two people
来年,らいねん,next year
飛ぶ,とぶ,"to fly,to hop"
起きる,おきる,to get up
四,し / よん,Four
私,わたし,"I,myself"
毎晩,まいばん,every night
八,はち,eight
喫茶店,きっさてん,coffee lounge
二つ,ふたつ,two
,フィルム,roll of film
古い,ふるい,old (not used for people)
二日,ふつか,"two days, second day of the month"
外国,がいこく,foreign country
,みんな,everyone
庭,にわ,garden
,たいへん,difficult situation
広い,ひろい,"spacious,wide"
,こっち,this person or way
,ペン,pen
置く,おく,to put
一緒,いっしょ,together
,じゃ/じゃあ,well then…
,バス,bus
洗う,あらう,to wash
映画館,えいがかん,cinema
,それから,after that
低い,ひくい,"short,low"
卵,たまご,egg
言葉,ことば,"word, language"
青,あお,blue
降る,ふる,"to fall, e.g. rain or snow"
,ナイフ,knife
暇,ひま,free time
飴,あめ,candy
,なぜ,why
灰皿,はいざら,ashtray
違う,ちがう,to differ
,カップ,Cup
交差点,こうさてん,intersection
宿題,しゅくだい,homework
漢字,かんじ,Chinese character
,セーター,"sweater, jumper"
地下鉄,ちかてつ,underground train
,テープ,tape
,みず,water
,プール,swimming pool
帽子,ぼうし,hat
持つ,もつ,to hold
渡す,わたす,to hand over
朝御飯,あさごはん,breakfast
温い,ぬるい,luke warm
上着,うわぎ,jacket
,なる,to become
文章,ぶんしょう,"sentence,text"
九つ,ここのつ,Nine
,ちょうど,exactly
有名,ゆうめい,famous
万,まん,ten thousand
戸,と,Japanese style door
村,むら,village
午前,ごぜん,morning
,ネクタイ,"tie,necktie"
,かける,to call by phone
前,まえ,before
姉,あね,(humble) older sister
閉める,しめる,to close something
大人,おとな,Adult
お金,おかね,money
一月,ひとつき,one month
自動車,じどうしゃ,Automobile
切手,きって,postage stamp
晴れ,はれ,clear weather
,ズボン,Trousers
,あびる,"to bathe, to shower"
,そうして/そして,And
,ストーブ,Heater
洋服,ようふく,western-style clothes
木,き,"tree, wood"
名前,なまえ,name
,まだ,"yet,still"
書く,かく,to write
,どうも,thanks
友達,ともだち,friend
一日,ついたち,first of month
切符,きっぷ,Ticket
一つ,ひとつ,one
八日,ようか,"eight days, eighth day of the month"
一人,ひとり,one person
,しかし,However
,メートル,metre
食べ物,たべもの,food
磨く,みがく,"to brush teeth, to polish"
自分,じぶん,Oneself
魚,さかな,Fish
,テスト,test
出口,でぐち,exit
,つける,to turn on
英語,えいご,English language
暑い,あつい,hot
,いい/よい,good
少ない,すくない,a few
葉書,はがき,postcard
,ギター,Guitar
朝,あさ,morning
近く,ちかく,near
東,ひがし,east
中,なか,middle
欲しい,ほしい,want
誕生日,たんじょうび,birthday
細い,ほそい,thin
無くす,なくす,to lose something
時計,とけい,"watch,clock"
行く,ゆく,to go
鳥,とり,bird
開ける,あける,to open
春,はる,spring
咲く,さく,to bloom
日曜日,にちようび,Sunday
女,おんな,Woman
閉まる,しまる,"to close, to be closed"
,あそこ,over there
言う,いう,to say
風,かぜ,Wind
女の子,おんなのこ,Girl
,あっち,over there
今朝,けさ,this morning
夏,なつ,summer
,あまり,not very
,かぎ,Key
着る,きる,to put on from the shoulders down
授業,じゅぎょう,"lesson, class work"
空,そら,Sky
働く,はたらく,to work
次,つぎ,next
横,よこ,"beside,side,width"
声,こえ,Voice
人,ひと,person
食堂,しょくどう,dining hall
,もう,already
毎年,まいねん/まいとし,every year
四つ,よっつ,four
池,いけ,pond
貸す,かす,to lend
,どちら,which of two
,ノート,"notebook,exercise book"
半,はん,half
